"security","purchase-rate","sale-rate","price-31-jan-18","effective-gain-lt","purchase-amount","sale-amount","days-held","sale-date","effective-cost","purchase-date","st","lt","sale-quantity"
"INE358A01014","13,072.00","17,547.5289","5,666.00","0.00","13,072.00","17,547.53","144","15/05/20","13,072.00","23/12/19","4,475.53","0.00","1"
"INE296A01024","4,180.0691","5,321.5033","1,690.00","18,262.95","66,881.11","85,144.05","431","26/02/21","66,881.11","23/12/19","0.00","18,262.95","16"
"INE296A01024","4,180.0691","5,257.2942","1,690.00","18,312.83","71,061.17","89,374.00","434","01/03/21","71,061.17","23/12/19","0.00","18,312.83","17"
"INE296A01024","4,180.0691","5,513.7732","1,690.00","21,339.27","66,881.11","88,220.37","437","04/03/21","66,881.11","23/12/19","0.00","21,339.27","16"
"INE296A01024","4,180.0691","5,339.675","1,690.00","9,276.85","33,440.55","42,717.40","441","08/03/21","33,440.55","23/12/19","0.00","9,276.85","8"
"INE463A01038","515.1527","522.5108","253.05","0.00","29,363.70","29,783.12","210","20/07/20","29,363.70","23/12/19","419.41","0.00","57"
"INE463A01038","515.1527","522.1275","253.05","0.00","27,303.09","27,672.76","211","21/07/20","27,303.09","23/12/19","369.67","0.00","53"
"INE463A01038","515.1527","693.3692","253.05","11,405.86","32,969.77","44,375.63","431","26/02/21","32,969.77","23/12/19","0.00","11,405.86","64"
"INE463A01038","515.1527","693.1493","253.05","23,495.56","68,000.15","91,495.71","434","01/03/21","68,000.15","23/12/19","0.00","23,495.56","132"
"INE463A01038","515.1527","714.475","253.05","12,557.31","32,454.62","45,011.93","441","08/03/21","32,454.62","23/12/19","0.00","12,557.31","63"
"INE154A01025","242.0989","162.3888","276.00","0.00","90,060.78","60,408.63","144","15/05/20","90,060.78","23/12/19","-29,652.15","0.00","372"
"INE154A01025","242.0989","207.2577","276.00","0.00","183,510.95","157,101.34","193","03/07/20","183,510.95","23/12/19","-26,409.61","0.00","758"
"INE239A01016","14,745.9788","16,328.9017","7,514.00","0.00","14,745.98","16,328.90","144","15/05/20","14,745.98","23/12/19","1,582.92","0.00","1"
"INE239A01016","14,745.9788","16,672.6504","7,514.00","0.00","58,983.92","66,690.60","200","10/07/20","58,983.92","23/12/19","7,706.69","0.00","4"
"INE761H01022","22,071.2735","29,106.4305","21,900.00","7,035.16","22,071.27","29,106.43","436","03/03/21","22,071.27","23/12/19","0.00","7,035.16","1"
"INE761H01022","22,071.2735","27,811.1718","21,900.00","5,739.90","22,071.27","27,811.17","441","08/03/21","22,071.27","23/12/19","0.00","5,739.90","1"
"INE131B01039","632.8314","599.2409","652.90","0.00","31,641.57","29,962.05","144","15/05/20","31,641.57","23/12/19","-1,679.53","0.00","50"
"INE131B01039","632.8314","635.9694","652.90","0.00","15,187.95","15,263.27","200","10/07/20","15,187.95","23/12/19","75.31","0.00","24"
"INE131B01039","632.8314","623.1439","652.90","0.00","20,250.60","19,940.60","210","20/07/20","20,250.60","23/12/19","-310.00","0.00","32"
"INE131B01039","632.8314","621.0097","652.90","0.00","27,844.58","27,324.43","211","21/07/20","27,844.58","23/12/19","-520.15","0.00","44"
"INE131B01039","632.8314","604.6964","652.90","0.00","15,820.78","15,117.41","218","28/07/20","15,820.78","23/12/19","-703.38","0.00","25"
"INE131B01039","632.8314","605.8234","652.90","0.00","12,023.80","11,510.64","219","29/07/20","12,023.80","23/12/19","-513.15","0.00","19"
"INE131B01039","632.8314","596.8343","652.90","0.00","6,961.15","6,565.18","220","30/07/20","6,961.15","23/12/19","-395.97","0.00","11"
"INE131B01039","632.8314","581.5485","652.90","0.00","32,907.23","30,240.52","221","31/07/20","32,907.23","23/12/19","-2,666.71","0.00","52"
"INE131B01039","632.8314","593.9403","652.90","0.00","36,071.39","33,854.60","224","03/08/20","36,071.39","23/12/19","-2,216.79","0.00","57"
"INE131B01039","632.8314","847.6326","652.90","1,933.21","5,695.48","7,628.69","431","26/02/21","5,695.48","23/12/19","0.00","1,933.21","9"
"INE131B01039","632.8314","843.9216","652.90","3,588.53","10,758.13","14,346.67","434","01/03/21","10,758.13","23/12/19","0.00","3,588.53","17"
"INE131B01039","632.8314","842.3405","652.90","209.51","632.83","842.34","435","02/03/21","632.83","23/12/19","0.00","209.51","1"
"INE131B01039","632.8314","840.4376","652.90","2,283.67","6,961.15","9,244.81","436","03/03/21","6,961.15","23/12/19","0.00","2,283.67","11"
"INE131B01039","632.8314","843.5549","652.90","1,896.51","5,695.48","7,591.99","441","08/03/21","5,695.48","23/12/19","0.00","1,896.51","9"
